"Symbol","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"CF","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27",1324404,"1946",2023-02-07
"CRL","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","2021-05-14",1100682,"1947",2023-02-07
"SCHW","Financials","Investment Banking & Brokerage","Westlake, Texas","1997-06-02",316709,"1971",2023-02-07
"CHTR","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08",1091667,"1993",2023-02-07
"CVX","Energy","Integrated Oil & Gas","San Ramon, California","1957-03-04",93410,"1879",2023-02-07
"CMG","Consumer Discretionary","Restaurants","Newport Beach, California","2011-04-28",1058090,"1993",2023-02-07
"CB","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15",896159,"1985",2023-02-07
"CHD","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29",313927,"1847",2023-02-07
"CI","Health Care","Managed Health Care","Bloomfield, Connecticut","1976-06-30",1739940,"1982",2023-02-07
"CINF","Financials","Property & Casualty Insurance","Fairfield, Ohio","1997-12-18",20286,"1950",2023-02-07
"CTAS","Industrials","Diversified Support Services","Mason, Ohio","2001-03-01",723254,"1929",2023-02-07
"CSCO","Information Technology","Communications Equipment","San Jose, California","1993-12-01",858877,"1984",2023-02-07
"C","Financials","Diversified Banks","New York City, New York","1988-05-31",831001,"1998",2023-02-07
"CFG","Financials","Regional Banks","Providence, Rhode Island","2016-01-29",759944,"1828",2023-02-07
"CLX","Consumer Staples","Household Products","Oakland, California","1969-03-31",21076,"1913",2023-02-07
"CME","Financials","Financial Exchanges & Data","Chicago, Illinois","2006-08-11",1156375,"1848",2023-02-07
"CMS","Utilities","Multi-Utilities","Jackson, Michigan","1999-05-03",811156,"1886",2023-02-07
"KO","Consumer Staples","Soft Drinks","Atlanta, Georgia","1957-03-04",21344,"1886",2023-02-07
"CTSH","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17",1058290,"1994",2023-02-07
"CL","Consumer Staples","Household Products","New York City, New York","1957-03-04",21665,"1806",2023-02-07
"CMCSA","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2002-11-19",1166691,"1963",2023-02-07
"CMA","Financials","Diversified Banks","Dallas, Texas","1995-12-01",28412,"1849",2023-02-07
"CAG","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31",23217,"1919",2023-02-07
"COP","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04",1163165,"2002",2023-02-07
"ED","Utilities","Electric Utilities","New York City, New York","",1047862,"1823",2023-02-07
"STZ","Consumer Staples","Distillers & Vintners","Victor, New York","2005-07-01",16918,"1945",2023-02-07
"CEG","Utilities","Multi-Utilities","Baltimore, Maryland","2022-02-02",1868275,"1999",2023-02-07
"COO","Health Care","Health Care Supplies","San Ramon, California","2016-09-23",711404,"1958",2023-02-07
"CPRT","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02",900075,"1982",2023-02-07
"GLW","Information Technology","Electronic Components","Corning, New York","",24741,"1851",2023-02-07
"CTVA","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","2019-06-03",1755672,"2019",2023-02-07
"CSGP","Industrials","Research & Consulting Services","Washington, D.C.","2022-09-19",1057352,"1987",2023-02-07
"COST","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","1993-10-01",909832,"1976",2023-02-07
