"Symbol","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"J","Industrials","Construction & Engineering","Dallas, Texas","2007-10-26",52988,"1947",2023-02-07
"JNJ","Health Care","Pharmaceuticals","New Brunswick, New Jersey","1973-06-30",200406,"1886",2023-02-07
"JCI","Industrials","Building Products","Cork, Ireland","2010-08-27",833444,"1885",2023-02-07
"JPM","Financials","Diversified Banks","New York City, New York","1975-06-30",19617,"2000 (1799 / 1871)",2023-02-07
"JNPR","Information Technology","Communications Equipment","Sunnyvale, California","2006-06-02",1043604,"1996",2023-02-07
"K","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan","1989-09-11",55067,"1906",2023-02-07
"KDP","Consumer Staples","Soft Drinks","Burlington, Massachusetts","2022-06-21",1418135,"1981",2023-02-07
"KEY","Financials","Regional Banks","Cleveland, Ohio","1994-03-01",91576,"1825",2023-02-07
"KEYS","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","2018-11-06",1601046,"2014 (1939)",2023-02-07
"KMB","Consumer Staples","Household Products","Irving, Texas","1957-03-04",55785,"1872",2023-02-07
"KIM","Real Estate","Retail REITs","New Hyde Park, New York","2006-04-04",879101,"1958",2023-02-07
"KMI","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2012-05-25",1506307,"1997",2023-02-07
"KLAC","Information Technology","Semiconductor Equipment","Milpitas, California","",319201,"1975/1977 (1997)",2023-02-07
"KHC","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois; Pittsburgh, Pennsylvania","2015-07-06",1637459,"2015 (1869)",2023-02-07
"KR","Consumer Staples","Food Retail","Cincinnati, Ohio","1957-03-04",56873,"1883",2023-02-07
"LHX","Industrials","Aerospace & Defense","Melbourne, Florida","2008-09-22",202058,"2019 (1895)",2023-02-07
"LH","Health Care","Health Care Services","Burlington, North Carolina","2004-11-01",920148,"1978",2023-02-07
"LRCX","Information Technology","Semiconductor Equipment","Fremont, California","2012-06-29",707549,"1980",2023-02-07
"LW","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","2018-12-03",1679273,"2016 (1950)",2023-02-07
"LVS","Consumer Discretionary","Casinos & Gaming","Las Vegas, Nevada","2019-10-03",1300514,"1988",2023-02-07
"LDOS","Industrials","Diversified Support Services","Reston, Virginia","2019-08-09",1336920,"1969",2023-02-07
"LEN","Consumer Discretionary","Homebuilding","Miami, Florida","2005-10-04",920760,"1954",2023-02-07
"LNC","Financials","Multi-line Insurance","Radnor, Pennsylvania","1976-06-30",59558,"1905",2023-02-07
"LIN","Materials","Industrial Gases","Guildford, United Kingdom","1992-07-01",1707925,"1879",2023-02-07
"LYV","Communication Services","Movies & Entertainment","Beverly Hills, California","2019-12-23",1335258,"2010",2023-02-07
"LKQ","Consumer Discretionary","Distributors","Chicago, Illinois","2016-05-23",1065696,"1998",2023-02-07
"LMT","Industrials","Aerospace & Defense","Bethesda, Maryland","1984-07-31",936468,"1995",2023-02-07
"L","Financials","Multi-line Insurance","New York City, New York","",60086,"1959",2023-02-07
"LOW","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","1984-02-29",60667,"1904/1946/1959",2023-02-07
"LUMN","Communication Services","Alternative Carriers","Monroe, Louisiana","1999-03-25",18926,"1983 (1877)",2023-02-07
"LYB","Materials","Specialty Chemicals","Rotterdam, Netherlands","2012-09-05",1489393,"2007",2023-02-07
"MTB","Financials","Regional Banks","Buffalo, New York","2004-02-23",36270,"1856",2023-02-07
"MRO","Energy","Oil & Gas Exploration & Production","Houston, Texas","1991-05-01",101778,"1887",2023-02-07
"MPC","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","2011-07-01",1510295,"2009 (1887)",2023-02-07
"MKTX","Financials","Financial Exchanges & Data","New York City, New York","2019-07-01",1278021,"2000",2023-02-07
"MAR","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland","",1048286,"1927",2023-02-07
"MMC","Financials","Insurance Brokers","New York City, New York","1987-08-31",62709,"1905",2023-02-07
"MLM","Materials","Construction Materials","Raleigh, North Carolina","2014-07-02",916076,"1993",2023-02-07
"MAS","Industrials","Building Products","Livonia, Michigan","1981-06-30",62996,"1929",2023-02-07
"MA","Information Technology","Data Processing & Outsourced Services","Harrison, New York","2008-07-18",1141391,"1966",2023-02-07
"MTCH","Communication Services","Interactive Media & Services","Dallas, Texas","2021-09-20",891103,"1986",2023-02-07
"MKC","Consumer Staples","Packaged Foods & Meats","Hunt Valley, Maryland","2003-03-20",63754,"1889",2023-02-07
"MCD","Consumer Discretionary","Restaurants","Chicago, Illinois","1970-06-30",63908,"1940",2023-02-07
"MCK","Health Care","Health Care Distributors","Irving, Texas","",927653,"1833",2023-02-07
"MDT","Health Care","Health Care Equipment","Dublin, Ireland","1986-10-31",1613103,"1949",2023-02-07
"MRK","Health Care","Pharmaceuticals","Kenilworth, New Jersey","1957-03-04",310158,"1891",2023-02-07
"META","Communication Services","Interactive Media & Services","Menlo Park, California","2013-12-23",1326801,"2004",2023-02-07
"MET","Financials","Life & Health Insurance","New York City, New York","",1099219,"1868",2023-02-07
"MTD","Health Care","Life Sciences Tools & Services","Columbus, Ohio","2016-09-06",1037646,"1945",2023-02-07
"MGM","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2017-07-26",789570,"1986",2023-02-07
"MCHP","Information Technology","Semiconductors","Chandler, Arizona","2007-09-07",827054,"1989",2023-02-07
"MU","Information Technology","Semiconductors","Boise, Idaho","1994-09-27",723125,"1978",2023-02-07
"MSFT","Information Technology","Systems Software","Redmond, Washington","1994-06-01",789019,"1975",2023-02-07
"MAA","Real Estate","Residential REITs","Memphis, Tennessee","2016-12-02",912595,"1977",2023-02-07
"MRNA","Health Care","Biotechnology","Cambridge, Massachusetts","2021-07-21",1682852,"2010",2023-02-07
"MHK","Consumer Discretionary","Home Furnishings","Calhoun, Georgia","2013-12-23",851968,"1878",2023-02-07
"MOH","Health Care","Managed Health Care","Long Beach, California","2022-03-02",1179929,"1980",2023-02-07
"TAP","Consumer Staples","Brewers","Chicago, Illinois","1976-06-30",24545,"2005 (Molson 1786, Coors 1873)",2023-02-07
"MDLZ","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","2012-10-02",1103982,"2012",2023-02-07
"MPWR","Information Technology","Semiconductors","Kirkland, Washington","2021-02-12",1280452,"1997",2023-02-07
"MNST","Consumer Staples","Soft Drinks","Corona, California","2012-06-28",865752,"2012 (1935)",2023-02-07
"MCO","Financials","Financial Exchanges & Data","New York City, New York","",1059556,"1909",2023-02-07
"MS","Financials","Investment Banking & Brokerage","New York City, New York","",895421,"1935",2023-02-07
"MOS","Materials","Fertilizers & Agricultural Chemicals","Tampa, Florida","2011-09-26",1285785,"2004 (1865 / 1909)",2023-02-07
"MSI","Information Technology","Communications Equipment","Chicago, Illinois","",68505,"1928 (2011)",2023-02-07
"MSCI","Financials","Financial Exchanges & Data","New York City, New York","2018-04-04",1408198,"1969",2023-02-07
"NDAQ","Financials","Financial Exchanges & Data","New York City, New York","2008-10-22",1120193,"1971",2023-02-07
"NTAP","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","1999-06-25",1002047,"1992",2023-02-07
"NFLX","Communication Services","Movies & Entertainment","Los Gatos, California","2010-12-20",1065280,"1997",2023-02-07
"NWL","Consumer Discretionary","Housewares & Specialties","Atlanta, Georgia","1989-04-30",814453,"1903",2023-02-07
"NEM","Materials","Gold","Denver, Colorado","1969-06-30",1164727,"1921",2023-02-07
"NWSA","Communication Services","Publishing","New York City, New York","2013-08-01",1564708,"2013 (1980)",2023-02-07
"NWS","Communication Services","Publishing","New York City, New York","2015-09-18",1564708,"2013 (1980)",2023-02-07
"NEE","Utilities","Multi-Utilities","Juno Beach, Florida","1976-06-30",753308,"1984 (1925)",2023-02-07
"NKE","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Washington County, Oregon","1988-11-30",320187,"1964",2023-02-07
"NI","Utilities","Multi-Utilities","Merrillville, Indiana","",1111711,"1912",2023-02-07
"NDSN","Industrials","Industrial Machinery","Westlake, Ohio","2022-02-15",72331,"1935",2023-02-07
"NSC","Industrials","Railroads","Atlanta, Georgia","1957-03-04",702165,"1881/1894 (1980)",2023-02-07
"NTRS","Financials","Asset Management & Custody Banks","Chicago, Illinois","",73124,"1889",2023-02-07
"NOC","Industrials","Aerospace & Defense","West Falls Church, Virginia","1985-06-30",1133421,"1994 (Northrop 1939, Grumman 1930)",2023-02-07
"NCLH","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2017-10-13",1513761,"2011 (1966)",2023-02-07
"NRG","Utilities","Independent Power Producers & Energy Traders","Houston, Texas","2010-01-29",1013871,"1992",2023-02-07
"NUE","Materials","Steel","Charlotte, North Carolina","1985-04-30",73309,"1940",2023-02-07
"NVDA","Information Technology","Semiconductors","Santa Clara, California","2001-11-30",1045810,"1993",2023-02-07
"NVR","Consumer Discretionary","Homebuilding","Reston, Virginia","2019-09-26",906163,"1980",2023-02-07
"NXPI","Information Technology","Semiconductors","Eindhoven, Netherlands","2021-03-22",1413447,"1953",2023-02-07
"ORLY","Consumer Discretionary","Specialty Stores","Springfield, Missouri","2009-03-27",898173,"1957",2023-02-07
"OXY","Energy","Oil & Gas Exploration & Production","Houston, Texas","1982-12-31",797468,"1920",2023-02-07
"ODFL","Industrials","Trucking","Thomasville, North Carolina","2019-12-09",878927,"1934",2023-02-07
"OMC","Communication Services","Advertising","New York City, New York","",29989,"1986",2023-02-07
"ON","Information Technology","Semiconductors","Phoenix, Arizona","2022-06-21",1097864,"1999",2023-02-07
"OKE","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","2010-03-15",1039684,"1906",2023-02-07
"ORCL","Information Technology","Application Software","Austin, Texas","1989-08-31",1341439,"1977",2023-02-07
"OGN","Health Care","Pharmaceuticals","Jersey City, New Jersey","2021-06-03",1821825,"2021",2023-02-07
"OTIS","Industrials","Industrial Machinery","Farmington, Connecticut","2020-04-03",1781335,"2020 (1853)",2023-02-07
"PCAR","Industrials","Construction Machinery & Heavy Trucks","Bellevue, Washington","1980-12-31",75362,"1905",2023-02-07
"PKG","Materials","Paper Packaging","Lake Forest, Illinois","2017-07-26",75677,"1959",2023-02-07
"PARA","Communication Services","Movies & Entertainment","New York City, New York","",813828,"2019 (1952)",2023-02-07
"PH","Industrials","Industrial Machinery","Cleveland, Ohio","1985-11-30",76334,"1917",2023-02-07
"PAYX","Information Technology","Data Processing & Outsourced Services","Penfield, New York","",723531,"1971",2023-02-07
"PAYC","Information Technology","Application Software","Oklahoma City, Oklahoma","2020-01-28",1590955,"1998",2023-02-07
"PYPL","Information Technology","Data Processing & Outsourced Services","San Jose, California","2015-07-20",1633917,"1998",2023-02-07
"PNR","Industrials","Industrial Machinery","Worsley, United Kingdom","2012-10-01",77360,"1966",2023-02-07
"PEP","Consumer Staples","Soft Drinks","Purchase, New York","1957-03-04",77476,"1898",2023-02-07
"PKI","Health Care","Health Care Equipment","Waltham, Massachusetts","1985-05-31",31791,"1937",2023-02-07
"PFE","Health Care","Pharmaceuticals","New York City, New York","1957-03-04",78003,"1849",2023-02-07
"PCG","Utilities","Multi-Utilities","San Francisco, California","2022-10-03",1004980,"1905",2023-02-07
"PM","Consumer Staples","Tobacco","New York City, New York","2008-03-31",1413329,"2008 (1847)",2023-02-07
"PSX","Energy","Oil & Gas Refining & Marketing","Houston, Texas","2012-05-01",1534701,"2012 (1917)",2023-02-07
"PNW","Utilities","Multi-Utilities","Phoenix, Arizona","",764622,"1985",2023-02-07
"PXD","Energy","Oil & Gas Exploration & Production","Irving, Texas","2008-09-24",1038357,"1997",2023-02-07
"PNC","Financials","Regional Banks","Pittsburgh, Pennsylvania","1988-04-30",713676,"1845",2023-02-07
"POOL","Consumer Discretionary","Distributors","Covington, Louisiana","2020-10-07",945841,"1993",2023-02-07
"PPG","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","1957-03-04",79879,"1883",2023-02-07
"PPL","Utilities","Electric Utilities","Allentown, Pennsylvania","",922224,"1920",2023-02-07
"PFG","Financials","Life & Health Insurance","Des Moines, Iowa","2002-07-22",1126328,"1879",2023-02-07
"PG","Consumer Staples","Personal Products","Cincinnati, Ohio","1957-03-04",80424,"1837",2023-02-07
"PGR","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","1997-08-04",80661,"1937",2023-02-07
"PLD","Real Estate","Industrial REITs","San Francisco, California","2003-07-17",1045609,"1983",2023-02-07
"PRU","Financials","Life & Health Insurance","Newark, New Jersey","2002-07-22",1137774,"1875",2023-02-07
"PEG","Utilities","Electric Utilities","Newark, New Jersey","1957-03-04",788784,"1903",2023-02-07
"PTC","Information Technology","Application Software","Boston, Massachusetts","2021-04-20",857005,"1985",2023-02-07
"PSA","Real Estate","Specialized REITs","Glendale, California","2005-08-19",1393311,"1972",2023-02-07
"PHM","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30",822416,"1956",2023-02-07
"QRVO","Information Technology","Semiconductors","Greensboro, North Carolina","2015-06-11",1604778,"2015",2023-02-07
"PWR","Industrials","Construction & Engineering","Houston, Texas","2009-07-01",1050915,"1997",2023-02-07
"QCOM","Information Technology","Semiconductors","San Diego, California","",804328,"1985",2023-02-07
"DGX","Health Care","Health Care Services","Secaucus, New Jersey","2002-12-12",1022079,"1967",2023-02-07
"RL","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2007-02-02",1037038,"1967",2023-02-07
"RJF","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","2017-03-20",720005,"1962",2023-02-07
"RTX","Industrials","Aerospace & Defense","Waltham, Massachusetts","",101829,"1922",2023-02-07
"O","Real Estate","Retail REITs","San Diego, California","2015-04-07",726728,"1969",2023-02-07
"REG","Real Estate","Retail REITs","Jacksonville, Florida","2017-03-02",910606,"1963",2023-02-07
"REGN","Health Care","Biotechnology","Tarrytown, New York","2013-05-01",872589,"1988",2023-02-07
"RF","Financials","Regional Banks","Birmingham, Alabama","1998-08-28",1281761,"1971",2023-02-07
"RSG","Industrials","Environmental & Facilities Services","Phoenix, Arizona","2008-12-05",1060391,"1998 (1981)",2023-02-07
"RMD","Health Care","Health Care Equipment","San Diego, California","2017-07-26",943819,"1989",2023-02-07
"RHI","Industrials","Human Resource & Employment Services","Menlo Park, California","2000-12-05",315213,"1948",2023-02-07
"ROK","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin","",1024478,"1903",2023-02-07
"ROL","Industrials","Environmental & Facilities Services","Atlanta, Georgia","2018-10-01",84839,"1948",2023-02-07
"ROP","Information Technology","Electronic Equipment & Instruments","Sarasota, Florida","2009-12-23",882835,"1981",2023-02-07
"ROST","Consumer Discretionary","Apparel Retail","Dublin, California","2009-12-21",745732,"1982",2023-02-07
"RCL","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2014-12-05",884887,"1997",2023-02-07
"SPGI","Financials","Financial Exchanges & Data","New York City, New York","",64040,"1917",2023-02-07
"CRM","Information Technology","Application Software","San Francisco, California","2008-09-15",1108524,"1999",2023-02-07
"SBAC","Real Estate","Specialized REITs","Boca Raton, Florida","2017-09-01",1034054,"1989",2023-02-07
"SLB","Energy","Oil & Gas Equipment & Services","Curaçao, Kingdom of the Netherlands","1965-03-31",87347,"1926",2023-02-07
"STX","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","2012-07-02",1137789,"1979",2023-02-07
"SEE","Materials","Paper Packaging","Charlotte, North Carolina","1957-03-04",1012100,"1960",2023-02-07
"SRE","Utilities","Multi-Utilities","San Diego, California","",1032208,"1998",2023-02-07
"NOW","Information Technology","Systems Software","Santa Clara, California","2019-11-21",1373715,"2003",2023-02-07
"SHW","Materials","Specialty Chemicals","Cleveland, Ohio","1964-06-30",89800,"1866",2023-02-07
"SBNY","Financials","Regional Banks","New York City, New York","2021-12-20",1288784,"2001",2023-02-07
"SPG","Real Estate","Retail REITs","Indianapolis, Indiana","2002-06-26",1063761,"2003",2023-02-07
"SWKS","Information Technology","Semiconductors","Irvine, California","2015-03-12",4127,"2002",2023-02-07
"SJM","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06",91419,"1897",2023-02-07
"SNA","Industrials","Industrial Machinery","Kenosha, Wisconsin","1982-09-30",91440,"1920",2023-02-07
"SEDG","Information Technology","Semiconductor Equipment","Herzliya, Israel","2021-12-20",1419612,"2006",2023-02-07
"SO","Utilities","Electric Utilities","Atlanta, Georgia","1957-03-04",92122,"1945",2023-02-07
"LUV","Industrials","Airlines","Dallas, Texas","1994-07-01",92380,"1967",2023-02-07
"SWK","Industrials","Industrial Machinery","New Britain, Connecticut","1982-09-30",93556,"1843",2023-02-07
"SBUX","Consumer Discretionary","Restaurants","Seattle, Washington","2000-06-07",829224,"1971",2023-02-07
"STT","Financials","Asset Management & Custody Banks","Boston, Massachusetts","",93751,"1792",2023-02-07
"STLD","Materials","Steel","Fort Wayne, Indiana","2022-12-22",1022671,"1993",2023-02-07
"STE","Health Care","Health Care Equipment","Dublin, Ireland","2019-12-23",1757898,"1985",2023-02-07
"SYK","Health Care","Health Care Equipment","Kalamazoo, Michigan","2000-12-12",310764,"1941",2023-02-07
"SIVB","Financials","Regional Banks","Santa Clara, California","2018-03-19",719739,"1983",2023-02-07
"SYF","Financials","Consumer Finance","Stamford, Connecticut","2015-11-18",1601712,"2003",2023-02-07
"SNPS","Information Technology","Application Software","Mountain View, California","2017-03-16",883241,"1986",2023-02-07
"SYY","Consumer Staples","Food Distributors","Houston, Texas","1986-12-31",96021,"1969",2023-02-07
"TMUS","Communication Services","Wireless Telecommunication Services","Bellevue, Washington","2019-07-15",1283699,"1994",2023-02-07
"TROW","Financials","Asset Management & Custody Banks","Baltimore, Maryland","",1113169,"1937",2023-02-07
"TTWO","Communication Services","Interactive Home Entertainment","New York City, New York","2018-03-19",946581,"1993",2023-02-07
"TPR","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","",1116132,"2017",2023-02-07
"TRGP","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2022-10-12",1389170,"2005",2023-02-07
"TGT","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","1976-12-31",27419,"1902",2023-02-07
"TEL","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","2011-10-17",1385157,"2007",2023-02-07
"TDY","Information Technology","Electronic Equipment & Instruments","Thousand Oaks, California","2020-06-22",1094285,"1960",2023-02-07
"TFX","Health Care","Health Care Equipment","Wayne, Pennsylvania","2019-01-18",96943,"1943",2023-02-07
"TER","Information Technology","Semiconductor Equipment","North Reading, Massachusetts","2020-09-21",97210,"1960",2023-02-07
"TSLA","Consumer Discretionary","Automobile Manufacturers","Austin, Texas","2020-12-21",1318605,"2003",2023-02-07
"TXN","Information Technology","Semiconductors","Dallas, Texas","",97476,"1930",2023-02-07
"TXT","Industrials","Aerospace & Defense","Providence, Rhode Island","1978-12-31",217346,"1923",2023-02-07
"TMO","Health Care","Life Sciences Tools & Services","Waltham, Massachusetts","2004-08-03",97745,"2006 (1902)",2023-02-07
"TJX","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","1985-09-30",109198,"1987",2023-02-07
"TSCO","Consumer Discretionary","Specialty Stores","Brentwood, Tennessee","2014-01-24",916365,"1938",2023-02-07
"TT","Industrials","Building Products","Dublin, Ireland","2010-11-17",1466258,"1871",2023-02-07
"TDG","Industrials","Aerospace & Defense","Cleveland, Ohio","2016-06-03",1260221,"1993",2023-02-07
"TRV","Financials","Property & Casualty Insurance","New York City, New York","2002-08-21",86312,"1853",2023-02-07
"TRMB","Information Technology","Electronic Equipment & Instruments","Westminster, Colorado","2021-01-21",864749,"1978",2023-02-07
"TFC","Financials","Regional Banks","Charlotte, North Carolina","1997-12-04",92230,"1872",2023-02-07
"TYL","Information Technology","Application Software","Plano, Texas","2020-06-22",860731,"1966",2023-02-07
"TSN","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","2005-08-10",100493,"1935",2023-02-07
"USB","Financials","Diversified Banks","Minneapolis, Minnesota","",36104,"1968",2023-02-07
"UDR","Real Estate","Residential REITs","Highlands Ranch, Colorado","2016-03-07",74208,"1972",2023-02-07
"ULTA","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","2016-04-18",1403568,"1990",2023-02-07
"UNP","Industrials","Railroads","Omaha, Nebraska","1957-03-04",100885,"1862",2023-02-07
"UAL","Industrials","Airlines","Chicago, Illinois","2015-09-03",100517,"1967",2023-02-07
"UPS","Industrials","Air Freight & Logistics","Sandy Springs, Georgia","2002-07-22",1090727,"1907",2023-02-07
"URI","Industrials","Trading Companies & Distributors","Stamford, Connecticut","2014-09-20",1067701,"1997",2023-02-07
"UNH","Health Care","Managed Health Care","Minnetonka, Minnesota","1994-07-01",731766,"1977",2023-02-07
"UHS","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","2014-09-20",352915,"1979",2023-02-07
"VLO","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas","",1035002,"1980",2023-02-07
"VTR","Real Estate","Health Care REITs","Chicago, Illinois","2009-03-04",740260,"1998",2023-02-07
"VRSN","Information Technology","Internet Services & Infrastructure","Dulles, Virginia","2006-02-01",1014473,"1995",2023-02-07
"VRSK","Industrials","Research & Consulting Services","Jersey City, New Jersey","2015-10-08",1442145,"1971",2023-02-07
"VZ","Communication Services","Integrated Telecommunication Services","New York City, New York","1983-11-30",732712,"1983 (1877)",2023-02-07
"VRTX","Health Care","Biotechnology","Cambridge, Massachusetts","2013-09-23",875320,"1989",2023-02-07
"VFC","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Denver, Colorado","1979-06-30",103379,"1899",2023-02-07
"VTRS","Health Care","Pharmaceuticals","Pittsburgh, Pennsylvania","2004-04-23",1792044,"1961",2023-02-07
"VICI","Real Estate","Hotel & Resort REITs","New York City, New York","2022-06-08",1705696,"2017",2023-02-07
"V","Information Technology","Data Processing & Outsourced Services","San Francisco, California","2009-12-21",1403161,"1958",2023-02-07
"VMC","Materials","Construction Materials","Birmingham, Alabama","1999-06-30",1396009,"1909",2023-02-07
"WAB","Industrials","Construction Machinery & Heavy Trucks","Pittsburgh, Pennsylvania","2019-02-27",943452,"1999 (1869)",2023-02-07
"WBA","Consumer Staples","Drug Retail","Deerfield, Illinois","1979-12-31",1618921,"2014",2023-02-07
"WMT","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","1982-08-31",104169,"1962",2023-02-07
"WBD","Communication Services","Broadcasting","New York City, New York","2022-04-11",1437107,"2022",2023-02-07
"WM","Industrials","Environmental & Facilities Services","Houston, Texas","",823768,"1968",2023-02-07
"WAT","Health Care","Health Care Distributors","Milford, Massachusetts","",1000697,"1958",2023-02-07
"WEC","Utilities","Electric Utilities","Milwaukee, Wisconsin","2008-10-31",783325,"1896",2023-02-07
"WFC","Financials","Diversified Banks","San Francisco, California","1976-06-30",72971,"1852",2023-02-07
"WELL","Real Estate","Health Care REITs","Toledo, Ohio","2009-01-30",766704,"1970",2023-02-07
"WST","Health Care","Health Care Supplies","Exton, Pennsylvania","2020-05-22",105770,"1923",2023-02-07
"WDC","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","2009-07-01",106040,"1970",2023-02-07
"WRK","Materials","Paper Packaging","Atlanta, Georgia","",1732845,"2015",2023-02-07
"WY","Real Estate","Specialized REITs","Seattle, Washington","",106535,"1900",2023-02-07
"WHR","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan","",106640,"1911",2023-02-07
"WMB","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","1975-03-31",107263,"1908",2023-02-07
"WTW","Financials","Insurance Brokers","London, United Kingdom","2016-01-05",1140536,"2016",2023-02-07
"GWW","Industrials","Industrial Machinery","Lake Forest, Illinois","1981-06-30",277135,"1927",2023-02-07
"WYNN","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2008-11-14",1174922,"2002",2023-02-07
"XEL","Utilities","Multi-Utilities","Minneapolis, Minnesota","1957-03-04",72903,"1909",2023-02-07
"XYL","Industrials","Industrial Machinery","White Plains, New York","2011-11-01",1524472,"2011",2023-02-07
"YUM","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997-10-06",1041061,"1997",2023-02-07
"ZBRA","Information Technology","Electronic Equipment & Instruments","Lincolnshire, Illinois","2019-12-23",877212,"1969",2023-02-07
"ZBH","Health Care","Health Care Equipment","Warsaw, Indiana","2001-08-07",1136869,"1927",2023-02-07
"ZION","Financials","Regional Banks","Salt Lake City, Utah","2001-06-22",109380,"1873",2023-02-07
"ZTS","Health Care","Pharmaceuticals","Parsippany, New Jersey","2013-06-21",1555280,"1952",2023-02-07
