"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"NCLH","Norwegian Cruise Line Holdings","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2017-10-13",1513761,"2011 (1966)",2023-01-13
"NRG","NRG Energy","reports","Utilities","Independent Power Producers & Energy Traders","Houston, Texas","2010-01-29",1013871,"1992",2023-01-13
"NUE","Nucor","reports","Materials","Steel","Charlotte, North Carolina","1985-04-30",73309,"1940",2023-01-13
"NVDA","Nvidia","reports","Information Technology","Semiconductors","Santa Clara, California","2001-11-30",1045810,"1993",2023-01-13
"NVR","NVR, Inc.","reports","Consumer Discretionary","Homebuilding","Reston, Virginia","2019-09-26",906163,"1980",2023-01-13
"NXPI","NXP Semiconductors","reports","Information Technology","Semiconductors","Eindhoven, Netherlands","2021-03-22",1413447,"1953",2023-01-13
"ORLY","O'Reilly Auto Parts","reports","Consumer Discretionary","Specialty Stores","Springfield, Missouri","2009-03-27",898173,"1957",2023-01-13
"OXY","Occidental Petroleum","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1982-12-31",797468,"1920",2023-01-13
"ODFL","Old Dominion","reports","Industrials","Trucking","Thomasville, North Carolina","2019-12-09",878927,"1934",2023-01-13
"OMC","Omnicom Group","reports","Communication Services","Advertising","New York City, New York","",29989,"1986",2023-01-13
"ON","ON Semiconductor","reports","Information Technology","Semiconductors","Phoenix, Arizona","2022-06-21",1097864,"1999",2023-01-13
"OKE","ONEOK","reports","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","2010-03-15",1039684,"1906",2023-01-13
"ORCL","Oracle Corporation","reports","Information Technology","Application Software","Austin, Texas","1989-08-31",1341439,"1977",2023-01-13
"OGN","Organon & Co.","reports","Health Care","Pharmaceuticals","Jersey City, New Jersey","2021-06-03",1821825,"2021",2023-01-13
"OTIS","Otis Worldwide","reports","Industrials","Industrial Machinery","Farmington, Connecticut","2020-04-03",1781335,"2020 (1853)",2023-01-13
"PCAR","Paccar","reports","Industrials","Construction Machinery & Heavy Trucks","Bellevue, Washington","1980-12-31",75362,"1905",2023-01-13
"PKG","Packaging Corporation of America","reports","Materials","Paper Packaging","Lake Forest, Illinois","2017-07-26",75677,"1959",2023-01-13
"PARA","Paramount Global","reports","Communication Services","Movies & Entertainment","New York City, New York","",813828,"2019 (1952)",2023-01-13
"PH","Parker Hannifin","reports","Industrials","Industrial Machinery","Cleveland, Ohio","1985-11-30",76334,"1917",2023-01-13
"PAYX","Paychex","reports","Information Technology","Data Processing & Outsourced Services","Penfield, New York","",723531,"1971",2023-01-13
"PAYC","Paycom","reports","Information Technology","Application Software","Oklahoma City, Oklahoma","2020-01-28",1590955,"1998",2023-01-13
"PYPL","PayPal","reports","Information Technology","Data Processing & Outsourced Services","San Jose, California","2015-07-20",1633917,"1998",2023-01-13
"PNR","Pentair","reports","Industrials","Industrial Machinery","Worsley, United Kingdom","2012-10-01",77360,"1966",2023-01-13
"PEP","PepsiCo","reports","Consumer Staples","Soft Drinks","Purchase, New York","1957-03-04",77476,"1898",2023-01-13
"PKI","PerkinElmer","reports","Health Care","Health Care Equipment","Waltham, Massachusetts","1985-05-31",31791,"1937",2023-01-13
"PFE","Pfizer","reports","Health Care","Pharmaceuticals","New York City, New York","1957-03-04",78003,"1849",2023-01-13
"PCG","PG&E Corporation","reports","Utilities","Multi-Utilities","San Francisco, California","2022-10-03",1004980,"1905",2023-01-13
"PM","Philip Morris International","reports","Consumer Staples","Tobacco","New York City, New York","2008-03-31",1413329,"2008 (1847)",2023-01-13
"PSX","Phillips 66","reports","Energy","Oil & Gas Refining & Marketing","Houston, Texas","2012-05-01",1534701,"2012 (1917)",2023-01-13
"PNW","Pinnacle West","reports","Utilities","Multi-Utilities","Phoenix, Arizona","",764622,"1985",2023-01-13
"PXD","Pioneer Natural Resources","reports","Energy","Oil & Gas Exploration & Production","Irving, Texas","2008-09-24",1038357,"1997",2023-01-13
"PNC","PNC Financial Services","reports","Financials","Regional Banks","Pittsburgh, Pennsylvania","1988-04-30",713676,"1845",2023-01-13
"POOL","Pool Corporation","reports","Consumer Discretionary","Distributors","Covington, Louisiana","2020-10-07",945841,"1993",2023-01-13
"PPG","PPG Industries","reports","Materials","Specialty Chemicals","Pittsburgh, Pennsylvania","1957-03-04",79879,"1883",2023-01-13
"PPL","PPL Corporation","reports","Utilities","Electric Utilities","Allentown, Pennsylvania","",922224,"1920",2023-01-13
"PFG","Principal Financial Group","reports","Financials","Life & Health Insurance","Des Moines, Iowa","2002-07-22",1126328,"1879",2023-01-13
"PG","Procter & Gamble","reports","Consumer Staples","Personal Products","Cincinnati, Ohio","1957-03-04",80424,"1837",2023-01-13
"PGR","Progressive Corporation","reports","Financials","Property & Casualty Insurance","Mayfield Village, Ohio","1997-08-04",80661,"1937",2023-01-13
"PLD","Prologis","reports","Real Estate","Industrial REITs","San Francisco, California","2003-07-17",1045609,"1983",2023-01-13
"PRU","Prudential Financial","reports","Financials","Life & Health Insurance","Newark, New Jersey","2002-07-22",1137774,"1875",2023-01-13
"PEG","Public Service Enterprise Group","reports","Utilities","Electric Utilities","Newark, New Jersey","1957-03-04",788784,"1903",2023-01-13
"PTC","PTC","reports","Information Technology","Application Software","Boston, Massachusetts","2021-04-20",857005,"1985",2023-01-13
"PSA","Public Storage","reports","Real Estate","Specialized REITs","Glendale, California","2005-08-19",1393311,"1972",2023-01-13
"PHM","PulteGroup","reports","Consumer Discretionary","Homebuilding","Atlanta, Georgia","1984-04-30",822416,"1956",2023-01-13
"QRVO","Qorvo","reports","Information Technology","Semiconductors","Greensboro, North Carolina","2015-06-11",1604778,"2015",2023-01-13
"PWR","Quanta Services","reports","Industrials","Construction & Engineering","Houston, Texas","2009-07-01",1050915,"1997",2023-01-13
"QCOM","Qualcomm","reports","Information Technology","Semiconductors","San Diego, California","",804328,"1985",2023-01-13
"DGX","Quest Diagnostics","reports","Health Care","Health Care Services","Secaucus, New Jersey","2002-12-12",1022079,"1967",2023-01-13
"RL","Ralph Lauren Corporation","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","2007-02-02",1037038,"1967",2023-01-13
"RJF","Raymond James","reports","Financials","Investment Banking & Brokerage","St. Petersburg, Florida","2017-03-20",720005,"1962",2023-01-13
"RTX","Raytheon Technologies","reports","Industrials","Aerospace & Defense","Waltham, Massachusetts","",101829,"1922",2023-01-13
"O","Realty Income","reports","Real Estate","Retail REITs","San Diego, California","2015-04-07",726728,"1969",2023-01-13
"REG","Regency Centers","reports","Real Estate","Retail REITs","Jacksonville, Florida","2017-03-02",910606,"1963",2023-01-13
"REGN","Regeneron","reports","Health Care","Biotechnology","Tarrytown, New York","2013-05-01",872589,"1988",2023-01-13
"RF","Regions Financial Corporation","reports","Financials","Regional Banks","Birmingham, Alabama","1998-08-28",1281761,"1971",2023-01-13
"RSG","Republic Services","reports","Industrials","Environmental & Facilities Services","Phoenix, Arizona","2008-12-05",1060391,"1998 (1981)",2023-01-13
"RMD","ResMed","reports","Health Care","Health Care Equipment","San Diego, California","2017-07-26",943819,"1989",2023-01-13
"RHI","Robert Half","reports","Industrials","Human Resource & Employment Services","Menlo Park, California","2000-12-05",315213,"1948",2023-01-13
"ROK","Rockwell Automation","reports","Industrials","Electrical Components & Equipment","Milwaukee, Wisconsin","",1024478,"1903",2023-01-13
"ROL","Rollins, Inc.","reports","Industrials","Environmental & Facilities Services","Atlanta, Georgia","2018-10-01",84839,"1948",2023-01-13
"ROP","Roper Technologies","reports","Information Technology","Electronic Equipment & Instruments","Sarasota, Florida","2009-12-23",882835,"1981",2023-01-13
"ROST","Ross Stores","reports","Consumer Discretionary","Apparel Retail","Dublin, California","2009-12-21",745732,"1982",2023-01-13
"RCL","Royal Caribbean Group","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","2014-12-05",884887,"1997",2023-01-13
"SPGI","S&P Global","reports","Financials","Financial Exchanges & Data","New York City, New York","",64040,"1917",2023-01-13
"CRM","Salesforce","reports","Information Technology","Application Software","San Francisco, California","2008-09-15",1108524,"1999",2023-01-13
"SBAC","SBA Communications","reports","Real Estate","Specialized REITs","Boca Raton, Florida","2017-09-01",1034054,"1989",2023-01-13
"SLB","Schlumberger","reports","Energy","Oil & Gas Equipment & Services","Curaçao, Kingdom of the Netherlands","1965-03-31",87347,"1926",2023-01-13
"STX","Seagate Technology","reports","Information Technology","Technology Hardware, Storage & Peripherals","Dublin, Ireland","2012-07-02",1137789,"1979",2023-01-13
"SEE","Sealed Air","reports","Materials","Paper Packaging","Charlotte, North Carolina","1957-03-04",1012100,"1960",2023-01-13
"SRE","Sempra Energy","reports","Utilities","Multi-Utilities","San Diego, California","",1032208,"1998",2023-01-13
"NOW","ServiceNow","reports","Information Technology","Systems Software","Santa Clara, California","2019-11-21",1373715,"2003",2023-01-13
"SHW","Sherwin-Williams","reports","Materials","Specialty Chemicals","Cleveland, Ohio","1964-06-30",89800,"1866",2023-01-13
"SBNY","Signature Bank","reports","Financials","Regional Banks","New York City, New York","2021-12-20",1288784,"2001",2023-01-13
"SPG","Simon Property Group","reports","Real Estate","Retail REITs","Indianapolis, Indiana","2002-06-26",1063761,"2003",2023-01-13
"SWKS","Skyworks Solutions","reports","Information Technology","Semiconductors","Irvine, California","2015-03-12",4127,"2002",2023-01-13
"SJM","The J.M. Smucker Company","reports","Consumer Staples","Packaged Foods & Meats","Orrville, Ohio","2008-11-06",91419,"1897",2023-01-13
"SNA","Snap-on","reports","Industrials","Industrial Machinery","Kenosha, Wisconsin","1982-09-30",91440,"1920",2023-01-13
"SEDG","SolarEdge","reports","Information Technology","Semiconductor Equipment","Herzliya, Israel","2021-12-20",1419612,"2006",2023-01-13
"SO","Southern Company","reports","Utilities","Electric Utilities","Atlanta, Georgia","1957-03-04",92122,"1945",2023-01-13
"LUV","Southwest Airlines","reports","Industrials","Airlines","Dallas, Texas","1994-07-01",92380,"1967",2023-01-13
"SWK","Stanley Black & Decker","reports","Industrials","Industrial Machinery","New Britain, Connecticut","1982-09-30",93556,"1843",2023-01-13
"SBUX","Starbucks","reports","Consumer Discretionary","Restaurants","Seattle, Washington","2000-06-07",829224,"1971",2023-01-13
"STT","State Street Corporation","reports","Financials","Asset Management & Custody Banks","Boston, Massachusetts","",93751,"1792",2023-01-13
"STLD","Steel Dynamics","reports","Materials","Steel","Fort Wayne, Indiana","2022-12-22",1022671,"1993",2023-01-13
"STE","Steris","reports","Health Care","Health Care Equipment","Dublin, Ireland","2019-12-23",1757898,"1985",2023-01-13
"SYK","Stryker Corporation","reports","Health Care","Health Care Equipment","Kalamazoo, Michigan","2000-12-12",310764,"1941",2023-01-13
"SIVB","SVB Financial","reports","Financials","Regional Banks","Santa Clara, California","2018-03-19",719739,"1983",2023-01-13
"SYF","Synchrony Financial","reports","Financials","Consumer Finance","Stamford, Connecticut","2015-11-18",1601712,"2003",2023-01-13
"SNPS","Synopsys","reports","Information Technology","Application Software","Mountain View, California","2017-03-16",883241,"1986",2023-01-13
"SYY","Sysco","reports","Consumer Staples","Food Distributors","Houston, Texas","1986-12-31",96021,"1969",2023-01-13
"TMUS","T-Mobile US","reports","Communication Services","Wireless Telecommunication Services","Bellevue, Washington","2019-07-15",1283699,"1994",2023-01-13
"TROW","T. Rowe Price","reports","Financials","Asset Management & Custody Banks","Baltimore, Maryland","",1113169,"1937",2023-01-13
"TTWO","Take-Two Interactive","reports","Communication Services","Interactive Home Entertainment","New York City, New York","2018-03-19",946581,"1993",2023-01-13
"TPR","Tapestry, Inc.","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","New York City, New York","",1116132,"2017",2023-01-13
"TRGP","Targa Resources","reports","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2022-10-12",1389170,"2005",2023-01-13
"TGT","Target Corporation","reports","Consumer Discretionary","General Merchandise Stores","Minneapolis, Minnesota","1976-12-31",27419,"1902",2023-01-13
"TEL","TE Connectivity","reports","Information Technology","Electronic Manufacturing Services","Schaffhausen, Switzerland","2011-10-17",1385157,"2007",2023-01-13
"TDY","Teledyne Technologies","reports","Information Technology","Electronic Equipment & Instruments","Thousand Oaks, California","2020-06-22",1094285,"1960",2023-01-13
"TFX","Teleflex","reports","Health Care","Health Care Equipment","Wayne, Pennsylvania","2019-01-18",96943,"1943",2023-01-13
"TER","Teradyne","reports","Information Technology","Semiconductor Equipment","North Reading, Massachusetts","2020-09-21",97210,"1960",2023-01-13
"TSLA","Tesla, Inc.","reports","Consumer Discretionary","Automobile Manufacturers","Austin, Texas","2020-12-21",1318605,"2003",2023-01-13
"TXN","Texas Instruments","reports","Information Technology","Semiconductors","Dallas, Texas","",97476,"1930",2023-01-13
"TXT","Textron","reports","Industrials","Aerospace & Defense","Providence, Rhode Island","1978-12-31",217346,"1923",2023-01-13
"TMO","Thermo Fisher Scientific","reports","Health Care","Life Sciences Tools & Services","Waltham, Massachusetts","2004-08-03",97745,"2006 (1902)",2023-01-13
"TJX","TJX Companies","reports","Consumer Discretionary","Apparel Retail","Framingham, Massachusetts","1985-09-30",109198,"1987",2023-01-13
"TSCO","Tractor Supply","reports","Consumer Discretionary","Specialty Stores","Brentwood, Tennessee","2014-01-24",916365,"1938",2023-01-13
"TT","Trane Technologies","reports","Industrials","Building Products","Dublin, Ireland","2010-11-17",1466258,"1871",2023-01-13
"TDG","TransDigm Group","reports","Industrials","Aerospace & Defense","Cleveland, Ohio","2016-06-03",1260221,"1993",2023-01-13
"TRV","The Travelers Companies","reports","Financials","Property & Casualty Insurance","New York City, New York","2002-08-21",86312,"1853",2023-01-13
"TRMB","Trimble Inc.","reports","Information Technology","Electronic Equipment & Instruments","Westminster, Colorado","2021-01-21",864749,"1978",2023-01-13
"TFC","Truist","reports","Financials","Regional Banks","Charlotte, North Carolina","1997-12-04",92230,"1872",2023-01-13
"TYL","Tyler Technologies","reports","Information Technology","Application Software","Plano, Texas","2020-06-22",860731,"1966",2023-01-13
"TSN","Tyson Foods","reports","Consumer Staples","Packaged Foods & Meats","Springdale, Arkansas","2005-08-10",100493,"1935",2023-01-13
"USB","U.S. Bank","reports","Financials","Diversified Banks","Minneapolis, Minnesota","",36104,"1968",2023-01-13
"UDR","UDR, Inc.","reports","Real Estate","Residential REITs","Highlands Ranch, Colorado","2016-03-07",74208,"1972",2023-01-13
"ULTA","Ulta Beauty","reports","Consumer Discretionary","Specialty Stores","Bolingbrook, Illinois","2016-04-18",1403568,"1990",2023-01-13
"UNP","Union Pacific Corporation","reports","Industrials","Railroads","Omaha, Nebraska","1957-03-04",100885,"1862",2023-01-13
"UAL","United Airlines Holdings","reports","Industrials","Airlines","Chicago, Illinois","2015-09-03",100517,"1967",2023-01-13
"UPS","United Parcel Service","reports","Industrials","Air Freight & Logistics","Sandy Springs, Georgia","2002-07-22",1090727,"1907",2023-01-13
"URI","United Rentals","reports","Industrials","Trading Companies & Distributors","Stamford, Connecticut","2014-09-20",1067701,"1997",2023-01-13
"UNH","UnitedHealth Group","reports","Health Care","Managed Health Care","Minnetonka, Minnesota","1994-07-01",731766,"1977",2023-01-13
"UHS","Universal Health Services","reports","Health Care","Health Care Facilities","King of Prussia, Pennsylvania","2014-09-20",352915,"1979",2023-01-13
"VLO","Valero Energy","reports","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas","",1035002,"1980",2023-01-13
"VTR","Ventas","reports","Real Estate","Health Care REITs","Chicago, Illinois","2009-03-04",740260,"1998",2023-01-13
"VRSN","Verisign","reports","Information Technology","Internet Services & Infrastructure","Dulles, Virginia","2006-02-01",1014473,"1995",2023-01-13
"VRSK","Verisk","reports","Industrials","Research & Consulting Services","Jersey City, New Jersey","2015-10-08",1442145,"1971",2023-01-13
"VZ","Verizon","reports","Communication Services","Integrated Telecommunication Services","New York City, New York","1983-11-30",732712,"1983 (1877)",2023-01-13
"VRTX","Vertex Pharmaceuticals","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2013-09-23",875320,"1989",2023-01-13
"VFC","VF Corporation","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Denver, Colorado","1979-06-30",103379,"1899",2023-01-13
"VTRS","Viatris","reports","Health Care","Pharmaceuticals","Pittsburgh, Pennsylvania","2004-04-23",1792044,"1961",2023-01-13
"VICI","Vici Properties","reports","Real Estate","Hotel & Resort REITs","New York City, New York","2022-06-08",1705696,"2017",2023-01-13
"V","Visa Inc.","reports","Information Technology","Data Processing & Outsourced Services","San Francisco, California","2009-12-21",1403161,"1958",2023-01-13
"VMC","Vulcan Materials Company","reports","Materials","Construction Materials","Birmingham, Alabama","1999-06-30",1396009,"1909",2023-01-13
"WAB","Wabtec","reports","Industrials","Construction Machinery & Heavy Trucks","Pittsburgh, Pennsylvania","2019-02-27",943452,"1999 (1869)",2023-01-13
"WBA","Walgreens Boots Alliance","reports","Consumer Staples","Drug Retail","Deerfield, Illinois","1979-12-31",1618921,"2014",2023-01-13
"WMT","Walmart","reports","Consumer Staples","Hypermarkets & Super Centers","Bentonville, Arkansas","1982-08-31",104169,"1962",2023-01-13
"WBD","Warner Bros. Discovery","reports","Communication Services","Broadcasting","New York City, New York","2022-04-11",1437107,"2022",2023-01-13
"WM","Waste Management","reports","Industrials","Environmental & Facilities Services","Houston, Texas","",823768,"1968",2023-01-13
"WAT","Waters Corporation","reports","Health Care","Health Care Distributors","Milford, Massachusetts","",1000697,"1958",2023-01-13
"WEC","WEC Energy Group","reports","Utilities","Electric Utilities","Milwaukee, Wisconsin","2008-10-31",783325,"1896",2023-01-13
"WFC","Wells Fargo","reports","Financials","Diversified Banks","San Francisco, California","1976-06-30",72971,"1852",2023-01-13
"WELL","Welltower","reports","Real Estate","Health Care REITs","Toledo, Ohio","2009-01-30",766704,"1970",2023-01-13
"WST","West Pharmaceutical Services","reports","Health Care","Health Care Supplies","Exton, Pennsylvania","2020-05-22",105770,"1923",2023-01-13
"WDC","Western Digital","reports","Information Technology","Technology Hardware, Storage & Peripherals","San Jose, California","2009-07-01",106040,"1970",2023-01-13
"WRK","WestRock","reports","Materials","Paper Packaging","Atlanta, Georgia","",1732845,"2015",2023-01-13
"WY","Weyerhaeuser","reports","Real Estate","Specialized REITs","Seattle, Washington","",106535,"1900",2023-01-13
"WHR","Whirlpool Corporation","reports","Consumer Discretionary","Household Appliances","Benton Harbor, Michigan","",106640,"1911",2023-01-13
"WMB","Williams Companies","reports","Energy","Oil & Gas Storage & Transportation","Tulsa, Oklahoma","1975-03-31",107263,"1908",2023-01-13
"WTW","Willis Towers Watson","reports","Financials","Insurance Brokers","London, United Kingdom","2016-01-05",1140536,"2016",2023-01-13
"GWW","W. W. Grainger","reports","Industrials","Industrial Machinery","Lake Forest, Illinois","1981-06-30",277135,"1927",2023-01-13
"WYNN","Wynn Resorts","reports","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2008-11-14",1174922,"2002",2023-01-13
"XEL","Xcel Energy","reports","Utilities","Multi-Utilities","Minneapolis, Minnesota","1957-03-04",72903,"1909",2023-01-13
"XYL","Xylem Inc.","reports","Industrials","Industrial Machinery","White Plains, New York","2011-11-01",1524472,"2011",2023-01-13
"YUM","Yum! Brands","reports","Consumer Discretionary","Restaurants","Louisville, Kentucky","1997-10-06",1041061,"1997",2023-01-13
"ZBRA","Zebra Technologies","reports","Information Technology","Electronic Equipment & Instruments","Lincolnshire, Illinois","2019-12-23",877212,"1969",2023-01-13
"ZBH","Zimmer Biomet","reports","Health Care","Health Care Equipment","Warsaw, Indiana","2001-08-07",1136869,"1927",2023-01-13
"ZION","Zions Bancorporation","reports","Financials","Regional Banks","Salt Lake City, Utah","2001-06-22",109380,"1873",2023-01-13
"ZTS","Zoetis","reports","Health Care","Pharmaceuticals","Parsippany, New Jersey","2013-06-21",1555280,"1952",2023-01-13
