"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"DOW","Dow Inc.","reports","Materials","Commodity Chemicals","Midland, Michigan","2019-04-01",1751788,"2019",2023-01-13
"DTE","DTE Energy","reports","Utilities","Multi-Utilities","Detroit, Michigan","1957-03-04",936340,"1995",2023-01-13
"DUK","Duke Energy","reports","Utilities","Electric Utilities","Charlotte, North Carolina","1976-06-30",1326160,"1904",2023-01-13
"DD","DuPont","reports","Materials","Specialty Chemicals","Wilmington, Delaware","2019-04-02",1666700,"2017",2023-01-13
"DXC","DXC Technology","reports","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","2017-04-04",1688568,"2017",2023-01-13
"EMN","Eastman Chemical Company","reports","Materials","Diversified Chemicals","Kingsport, Tennessee","1994-01-01",915389,"1920",2023-01-13
"ETN","Eaton Corporation","reports","Industrials","Electrical Components & Equipment","Dublin, Ireland","",1551182,"1911",2023-01-13
"EBAY","eBay","reports","Consumer Discretionary","Internet & Direct Marketing Retail","San Jose, California","2002-07-22",1065088,"1995",2023-01-13
"ECL","Ecolab","reports","Materials","Specialty Chemicals","Saint Paul, Minnesota","1989-01-31",31462,"1923",2023-01-13
"EIX","Edison International","reports","Utilities","Electric Utilities","Rosemead, California","1957-03-04",827052,"1886",2023-01-13
"EW","Edwards Lifesciences","reports","Health Care","Health Care Equipment","Irvine, California","2011-04-01",1099800,"1958",2023-01-13
"EA","Electronic Arts","reports","Communication Services","Interactive Home Entertainment","Redwood City, California","2002-07-22",712515,"1982",2023-01-13
"ELV","Elevance Health","reports","Health Care","Managed Health Care","Indianapolis, Indiana","2002-07-25",1156039,"2014 (1946)",2023-01-13
"LLY","Eli Lilly and Company","reports","Health Care","Pharmaceuticals","Indianapolis, Indiana","1970-12-31",59478,"1876",2023-01-13
"EMR","Emerson Electric","reports","Industrials","Electrical Components & Equipment","Ferguson, Missouri","1965-03-31",32604,"1890",2023-01-13
"ENPH","Enphase","reports","Information Technology","Electronic Components","Fremont, California","2021-01-07",1463101,"2006",2023-01-13
"ETR","Entergy","reports","Utilities","Electric Utilities","New Orleans, Louisiana","1957-03-04",65984,"1913",2023-01-13
"EOG","EOG Resources","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","2000-11-02",821189,"1999",2023-01-13
"EPAM","EPAM Systems","reports","Information Technology","IT Consulting & Other Services","Newtown, Pennsylvania","2021-12-14",1352010,"1993",2023-01-13
