"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"BLK","BlackRock","Financials","Asset Management & Custody Banks","New York City, New York","2011-04-04","0001364742","1988",,,,,,,,,,2024-02-05
"BX","Blackstone","Financials","Asset Management & Custody Banks","New York City, New York","2023-09-18","0001393818","1985",,,,,,,,,,2024-02-05
"BA","Boeing","Industrials","Aerospace & Defense","Arlington, Virginia","1957-03-04","0000012927","1916",,,,,,,,,,2024-02-05
"BKNG","Booking Holdings","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Norwalk, Connecticut","2009-11-06","0001075531","1996",,,,,,,,,,2024-02-05
"BWA","BorgWarner","Consumer Discretionary","Automotive Parts & Equipment","Auburn Hills, Michigan","2011-12-19","0000908255","1880",,,,,,,,,,2024-02-05
"BXP","Boston Properties","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03","0001037540","1970",,,,,,,,,,2024-02-05
"BSX","Boston Scientific","Health Care","Health Care Equipment","Marlborough, Massachusetts","1995-02-24","0000885725","1979",,,,,,,,,,2024-02-05
"BMY","Bristol Myers Squibb","Health Care","Pharmaceuticals","New York City, New York","1957-03-04","0000014272","1989 (1887)",,,,,,,,,,2024-02-05
"AVGO","Broadcom Inc.","Information Technology","Semiconductors","Palo Alto, California","2014-05-08","0001730168","1961",,,,,,,,,,2024-02-05
"BR","Broadridge Financial Solutions","Industrials","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18","0001383312","1962",,,,,,,,,,2024-02-05
"BRO","Brown & Brown","Financials","Insurance Brokers","Daytona Beach, Florida","2021-09-20","0000079282","1939",,,,,,,,,,2024-02-05
"BF.B","Brown–Forman","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31","0000014693","1870",,,,,,,,,,2024-02-05
"BLDR","Builders FirstSource","Industrials","Building Products","Irving, Texas","2023-12-18","0001316835","1998",,,,,,,,,,2024-02-05
"BG","Bunge Global SA","Consumer Staples","Agricultural Products & Services","Chesterfield, Missouri","2023-03-15","0001996862","1818",,,,,,,,,,2024-02-05
"CDNS","Cadence Design Systems","Information Technology","Application Software","San Jose, California","2017-09-18","0000813672","1988",,,,,,,,,,2024-02-05
"CZR","Caesars Entertainment","Consumer Discretionary","Casinos & Gaming","Reno, Nevada","2021-03-22","0001590895","1973",,,,,,,,,,2024-02-05
"CPT","Camden Property Trust","Real Estate","Multi-Family Residential REITs","Houston, Texas","2022-04-04","0000906345","1981",,,,,,,,,,2024-02-05
"CPB","Campbell Soup Company","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","1957-03-04","0000016732","1869",,,,,,,,,,2024-02-05
"COF","Capital One","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01","0000927628","1994",,,,,,,,,,2024-02-05
"CAH","Cardinal Health","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27","0000721371","1971",,,,,,,,,,2024-02-05
"KMX","CarMax","Consumer Discretionary","Automotive Retail","Richmond, Virginia","2010-06-28","0001170010","1993",,,,,,,,,,2024-02-05
"CCL","Carnival","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22","0000815097","1972",,,,,,,,,,2024-02-05
"CARR","Carrier Global","Industrials","Building Products","Palm Beach Gardens, Florida","2020-04-03","0001783180","2020 (1915, United Technologies spinoff)",,,,,,,,,,2024-02-05
"CTLT","Catalent","Health Care","Pharmaceuticals","Somerset, New Jersey","2020-09-21","0001596783","2007",,,,,,,,,,2024-02-05
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Transportation Equipment","Irving, Texas","1957-03-04","0000018230","1925",,,,,,,,,,2024-02-05
"CBOE","Cboe Global Markets","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01","0001374310","1973",,,,,,,,,,2024-02-05
"CBRE","CBRE Group","Real Estate","Real Estate Services","Dallas, Texas","2006-11-10","0001138118","1906",,,,,,,,,,2024-02-05
"CDW","CDW","Information Technology","Technology Distributors","Lincolnshire, Illinois","2019-09-23","0001402057","1984",,,,,,,,,,2024-02-05
"CE","Celanese","Materials","Specialty Chemicals","Irving, Texas","2018-12-24","0001306830","1918",,,,,,,,,,2024-02-05
"COR","Cencora","Health Care","Health Care Distributors","Conshohocken, Pennsylvania","2001-08-30","0001140859","1985",,,,,,,,,,2024-02-05
"CNC","Centene Corporation","Health Care","Managed Health Care","St. Louis, Missouri","2016-03-30","0001071739","1984",,,,,,,,,,2024-02-05
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Houston, Texas","1985-07-31","0001130310","1882",,,,,,,,,,2024-02-05
"CF","CF Industries","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","2008-08-27","0001324404","1946",,,,,,,,,,2024-02-05
"CHRW","CH Robinson","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02","0001043277","1905",,,,,,,,,,2024-02-05
"CRL","Charles River Laboratories","Health Care","Life Sciences Tools & Services","Wilmington, Massachusetts","2021-05-14","0001100682","1947",,,,,,,,,,2024-02-05
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","Westlake, Texas","1997-06-02","0000316709","1971",,,,,,,,,,2024-02-05
"CHTR","Charter Communications","Communication Services","Cable & Satellite","Stamford, Connecticut","2016-09-08","0001091667","1993",,,,,,,,,,2024-02-05
"CVX","Chevron Corporation","Energy","Integrated Oil & Gas","San Ramon, California","1957-03-04","0000093410","1879",,,,,,,,,,2024-02-05
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Newport Beach, California","2011-04-28","0001058090","1993",,,,,,,,,,2024-02-05
"CB","Chubb Limited","Financials","Property & Casualty Insurance","Zurich, Switzerland","2010-07-15","0000896159","1985",,,,,,,,,,2024-02-05
"CHD","Church & Dwight","Consumer Staples","Household Products","Ewing, New Jersey","2015-12-29","0000313927","1847",,,,,,,,,,2024-02-05
"CI","Cigna","Health Care","Health Care Services","Bloomfield, Connecticut","1976-06-30","0001739940","1982",,,,,,,,,,2024-02-05
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Fairfield, Ohio","1997-12-18","0000020286","1950",,,,,,,,,,2024-02-05
"CTAS","Cintas","Industrials","Diversified Support Services","Mason, Ohio","2001-03-01","0000723254","1929",,,,,,,,,,2024-02-05
"CSCO","Cisco","Information Technology","Communications Equipment","San Jose, California","1993-12-01","0000858877","1984",,,,,,,,,,2024-02-05
"C","Citigroup","Financials","Diversified Banks","New York City, New York","1988-05-31","0000831001","1998",,,,,,,,,,2024-02-05
"CFG","Citizens Financial Group","Financials","Regional Banks","Providence, Rhode Island","2016-01-29","0000759944","1828",,,,,,,,,,2024-02-05
"CLX","Clorox","Consumer Staples","Household Products","Oakland, California","1969-03-31","0000021076","1913",,,,,,,,,,2024-02-05
"CME","CME Group","Financials","Financial Exchanges & Data","Chicago, Illinois","2006-08-11","0001156375","1848",,,,,,,,,,2024-02-05
"CMS","CMS Energy","Utilities","Multi-Utilities","Jackson, Michigan","1957-03-04","0000811156","1886",,,,,,,,,,2024-02-05
"KO","Coca-Cola Company (The)","Consumer Staples","Soft Drinks & Non-alcoholic Beverages","Atlanta, Georgia","1957-03-04","0000021344","1886",,,,,,,,,,2024-02-05
"CTSH","Cognizant","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","2006-11-17","0001058290","1994",,,,,,,,,,2024-02-05
"CL","Colgate-Palmolive","Consumer Staples","Household Products","New York City, New York","1957-03-04","0000021665","1806",,,,,,,,,,2024-02-05
"CMCSA","Comcast","Communication Services","Cable & Satellite","Philadelphia, Pennsylvania","2002-11-19","0001166691","1963",,,,,,,,,,2024-02-05
"CMA","Comerica","Financials","Diversified Banks","Dallas, Texas","1995-12-01","0000028412","1849",,,,,,,,,,2024-02-05
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","1983-08-31","0000023217","1919",,,,,,,,,,2024-02-05
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas","1957-03-04","0001163165","2002",,,,,,,,,,2024-02-05
"ED","Consolidated Edison","Utilities","Multi-Utilities","New York City, New York","1957-03-04","0001047862","1823",,,,,,,,,,2024-02-05
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Victor, New York","2005-07-01","0000016918","1945",,,,,,,,,,2024-02-05
"CEG","Constellation Energy","Utilities","Electric Utilities","Baltimore, Maryland","2022-02-02","0001868275","1999",,,,,,,,,,2024-02-05
"COO","CooperCompanies","Health Care","Health Care Supplies","San Ramon, California","2016-09-23","0000711404","1958",,,,,,,,,,2024-02-05
"CPRT","Copart","Industrials","Diversified Support Services","Dallas, Texas","2018-07-02","0000900075","1982",,,,,,,,,,2024-02-05
"GLW","Corning Inc.","Information Technology","Electronic Components","Corning, New York","1995-02-27","0000024741","1851",,,,,,,,,,2024-02-05
"CTVA","Corteva","Materials","Fertilizers & Agricultural Chemicals","Indianapolis, Indiana","2019-06-03","0001755672","2019",,,,,,,,,,2024-02-05
"CSGP","CoStar Group","Real Estate","Real Estate Services","Washington, D.C.","2022-09-19","0001057352","1987",,,,,,,,,,2024-02-05
"COST","Costco","Consumer Staples","Consumer Staples Merchandise Retail","Issaquah, Washington","1993-10-01","0000909832","1976",,,,,,,,,,2024-02-05
"CTRA","Coterra","Energy","Oil & Gas Exploration & Production","Houston, Texas","2008-06-23","0000858470","2021 (1989)",,,,,,,,,,2024-02-05
"CCI","Crown Castle","Real Estate","Telecom Tower REITs","Houston, Texas","2012-03-14","0001051470","1994",,,,,,,,,,2024-02-05
"CSX","CSX","Industrials","Rail Transportation","Jacksonville, Florida","1957-03-04","0000277948","1980",,,,,,,,,,2024-02-05
